,Código [-],Gentílico [-],Prefeito [2021],Área Territorial - km² [2020],População estimada - pessoas [2020],Densidade demográfica - hab/km² [2010],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$ [2018],Renda per capita,Região Turística,Domésticos,Internacionais,Categoria,Código,Expectativa de Vida
NATIVIDADE,3303104.0,natividadense,SEVERIANO ANTONIO DOS SANTOS REZENDE,387.073,15311.0,39.0,98.6,0.73,11.56,70014.94738,64357.39468,18319.22,775.22,ÁGUAS DO NOROESTE,7494.0,0.0,D,330310.0,73.0
NILOPOLIS,3303203.0,nilopolitano,ABRAÃO DAVID NETO,19.393,162693.0,8117.62,96.7,0.753,11.01,301803.89403,293685.32507,17270.92,823.16,BAIXADA VERDE,22296.0,130.0,D,330320.0,73.0
NITEROI,3303302.0,niteroiense,AXEL SCHMIDT GRAEL,133.757,515317.0,3640.8,97.0,0.837,9.98,2767516.39545,2462638.23135,78854.6,2303.46,METROPOLITANA,240687.0,19548.0,B,330330.0,76.0
NOVA FRIBURGO,3303401.0,friburguense,JOHNNY MAYCON CORDEIRO RIBEIRO,935.429,191158.0,195.07,98.7,0.745,11.13,465474.03405,417390.44108,27435.52,1060.29,SERRA VERDE IMPERIAL,251467.0,5344.0,B,330340.0,75.0
NOVA IGUACU,3303500.0,iguaçuano,ROGERIO MARTINS LISBOA,520.581,823302.0,1527.6,96.2,0.713,13.58,1389627.36213,1415601.63924,20538.67,640.45,BAIXADA VERDE,31810.0,1855.0,C,330350.0,74.0
PARACAMBI,3303609.0,paracambiense,LUCIMAR CRISTINA DA SILVA FERREIRA,190.949,52683.0,262.27,96.1,0.72,6.19,124289.92223,109450.55251,18799.04,637.38,VALE DO CAFÉ,35814.0,276.0,C,330360.0,73.0
PARAIBA DO SUL,3303708.0,sul-paraibano,DAYSE DEBORAH ALEXANDRE NEVES,571.118,44518.0,70.77,98.6,0.702,18.83,113471.06302,110489.40853,22562.99,709.94,VALE DO CAFÉ,37774.0,0.0,C,330370.0,73.0
PARATI,3303807.0,paratiense,LUCIANO DE OLIVEIRA VIDAL,924.296,43680.0,40.57,93.8,0.693,16.98,217654.60463,211378.46713,61447.75,900.74,COSTA VERDE,404233.0,127665.0,A,330380.0,75.0
PATY DO ALFERES,3303856.0,patiense,EURICO PINHEIRO BERNARDES NETO,314.341,27858.0,82.68,97.7,0.671,10.44,94832.45755,74699.25564,19606.08,688.8,VALE DO CAFÉ,2350.0,129.0,D,330385.0,73.0
PETROPOLIS,3303906.0,petropolitano,BERNARDO CHIM ROSSI,791.144,306678.0,371.85,97.4,0.745,13.57,997314.71858,972655.14167,41456.25,1081.77,SERRA VERDE IMPERIAL,202749.0,15066.0,A,330390.0,75.0
