,City,Lat,Lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total
23,Duas Barras,-22.0522519,-42.5194705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24,Duque de Caxias,-22.7896225,-43.309929,4,6,10,16,6,15,11,26,24,23,36,41,41,71,31,59,90,109,87,83,58,54,28,21,32,30,29,35,25,25,28,29,22,20,15,14,14,11,13,4,3,9,4,5,7,17,5,7,15,12,7,4,1391
25,Engenheiro Paulo de Frontin,-22.5504556,-43.6783403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Guapimirim,-22.5266308,-42.9790687,0,0,0,1,0,0,1,0,2,0,0,0,1,3,0,1,2,2,2,0,5,1,2,2,0,0,1,0,0,2,1,1,0,1,1,0,1,0,1,1,1,1,0,1,12,8,20,19,17,13,8,0,135
27,Iguaba Grande,-22.8388498,-42.2286746,0,0,0,1,0,0,2,1,0,1,0,0,1,3,0,6,4,10,4,2,4,5,3,2,4,0,0,4,0,5,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,68
28,Itaboraí,-22.7496231,-42.8557428,4,4,19,13,32,25,28,65,39,60,85,103,114,92,110,89,103,96,87,83,87,79,90,52,44,36,34,32,42,64,59,54,25,29,29,18,16,15,6,8,10,5,13,4,9,10,13,29,18,22,34,17,2254
29,Itaguaí,-22.8629597,-43.775322,5,6,4,7,9,7,9,5,1,7,19,19,17,15,11,17,25,16,17,10,10,3,5,3,3,1,4,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,2,3,0,0,268
30,Italva,-21.4214056,-41.6907956,0,0,0,0,0,1,1,0,0,1,0,1,4,3,6,11,11,16,7,14,11,7,7,11,8,4,3,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
31,Itaocara,-21.6725236,-42.0798658,0,0,0,0,0,0,0,0,0,0,3,0,4,5,5,10,7,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
32,Itaperuna,-21.2048,-41.88801,0,0,2,3,6,4,9,7,6,8,12,19,23,59,57,68,129,125,126,141,117,90,79,58,45,25,27,23,4,8,11,8,2,0,2,0,2,1,1,0,0,0,0,0,0,1,2,0,6,4,3,0,1323
33,Itatiaia,-22.4955278,-44.5633108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
34,Japeri,-22.6427642,-43.6533831,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,9
35,Laje do Muriaé,-21.2082595,-42.1226959,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,15,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
36,Macaé,-22.3712958,-41.7866922,23,36,34,39,48,37,38,32,62,65,52,44,68,87,80,69,123,164,119,137,147,64,63,26,16,19,24,18,15,7,7,10,5,2,0,3,4,0,1,0,0,1,0,1,2,2,1,2,4,3,3,1,1808
37,Macuco,-21.9849747,-42.2539464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,10,5,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
38,Magé,-22.6604221,-43.0426162,1,0,0,0,3,1,1,1,2,0,2,1,4,2,1,7,11,6,7,5,4,4,2,3,2,1,1,1,2,2,3,2,1,0,5,4,5,2,1,3,10,7,4,12,33,49,78,69,95,137,65,10,672
39,Mangaratiba,-22.9600193,-44.04111,0,0,0,0,0,1,1,0,1,3,5,0,1,5,11,4,5,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,2,0,0,60
40,Maricá,-22.9196772,-42.8184375,1,0,0,0,0,1,1,0,0,1,2,0,2,3,2,3,6,12,9,8,4,5,5,2,2,4,4,1,1,8,9,20,4,3,4,0,1,0,1,0,0,0,0,0,0,6,2,4,5,12,11,4,173
41,Mendes,-22.5269113,-43.7332604,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
42,Mesquita,-22.783092,-43.4293599,1,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,1,2,2,0,2,6,0,3,5,3,1,3,2,1,2,4,0,0,0,0,0,0,0,1,0,2,2,2,2,3,2,2,0,1,1,63
43,Miguel Pereira,-22.4539417,-43.4691978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
44,Miracema,-21.4123651,-42.1965147,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
45,Natividade,-21.040694,-41.9817534,0,7,11,12,8,15,23,18,33,10,18,12,23,29,9,20,25,13,13,17,6,0,3,1,3,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337
46,Nilópolis,-22.8080114,-43.4138222,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,2,0,3,2,1,0,2,2,2,2,0,2,2,2,0,1,1,4,2,0,2,0,0,1,0,0,1,0,3,0,3,1,1,0,49
47,Niterói,-22.8832371,-43.1154552,3,5,0,1,9,6,10,14,20,17,30,26,39,30,54,50,100,124,101,107,71,68,46,42,42,35,26,19,18,24,19,17,25,23,12,13,12,9,7,9,6,4,4,5,3,7,21,19,31,38,12,14,1447
48,Nova Friburgo,-22.2800004,-42.5325303,0,0,0,2,1,0,0,0,1,0,3,0,1,0,1,2,2,4,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,1,31
49,Nova Iguaçu,-22.7592175,-43.4508728,1,2,1,3,6,3,4,4,5,4,12,21,19,6,3,10,7,8,13,7,8,20,9,4,10,12,4,4,8,4,7,4,4,2,6,2,1,1,5,0,0,2,4,4,1,3,4,5,5,11,10,1,304
50,Paracambi,-22.6109158,-43.7096912,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,Paraíba do Sul,-22.1636384,-43.2916915,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52,Parati,-23.2196461,-44.7154196,0,4,4,7,6,12,22,30,26,20,9,2,5,7,7,7,1,5,2,5,5,0,0,2,2,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,203
53,Paty do Alferes,-22.4272703,-43.4219523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
54,Petrópolis,-22.5075743,-43.1785356,1,0,1,1,0,0,1,0,0,3,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15
55,Pinheiral,-22.5129436,-44.001435,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
56,Piraí,-22.6287489,-43.8981758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
57,Porciúncula,-20.9627278,-42.0405703,122,113,101,51,32,11,19,19,11,10,9,7,8,4,3,2,10,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,1,1,1,0,548
58,Porto Real,-22.4198366,-44.2897974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Quatis,-22.4066444,-44.2577453,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,10
60,Queimados,-22.7156978,-43.555754,0,0,0,0,0,1,1,5,6,6,3,8,8,4,0,1,0,0,1,2,2,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,59
61,Quissamã,-22.107205,-41.4723411,0,1,0,1,1,0,0,0,0,0,0,1,0,1,2,4,3,3,6,6,4,1,3,3,1,7,2,3,1,1,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
62,Resende,-22.4683626,-44.4463494,0,0,0,0,0,0,0,0,1,2,2,0,3,2,0,2,2,3,2,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
63,Rio Bonito,-22.7108378,-42.6271864,1,0,2,0,1,0,2,3,4,6,3,4,4,11,9,6,13,7,8,7,4,1,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,1,2,112
